Vend Code | Customer Code | Customer Name | Operator Code
2705 | 15864 (USD) | Choa Chu Kang Ave 2 Blk 297C, Timeout Smarties Student Care (Rental) | HIPL
2710 | 15847 (CDR) | Woodlands Circle Blk 738, Yews Tuition Centre | HIPL
2712 | 15828 (CFK) | Parc Canberra Condo (Rental To Cheers) | HIPL
2713 | 15710 | Greenwich Dr, DHL Tampines Logispark (F) | HIPL
2714 | 15595 | Elias Green Condo | HIPL
2715 | 15815 (CDR) | Kranji Rd, Kranji Lodge One (Admin Blk) | HIPL
2716 | 16026 (CDR) | Woodlands Ring Rd Blk 643, Sweetlands | HIPL
2716 | 16800 (CFQ) | Temasek Sec Sch  淡马锡中学 (Providence Café & Bakery) | HIPL
2717 | 16278 (CDR) | Amaryllis Ville Condo Walls | HIPL
2718 | 16812 (CFX) | LT6 @ NUS Blk E4, Engineering Dr 3 | HIPL
2722 | 16130 (CFQ) | Dakota Cres, Broadrick Secondary School | HIPL
2723 | 15835 (UFNH) | Admiralty Rd, Masjid An-Nur | HIPL
2724 | 15836 | Jln Loyang Besar, CSC Loyang  | HIPL
2725 | 15837 (BFC) | Simei Green Condo | HIPL
2728 | 15838 (BEC) | The Quintet Condo | HIPL
2731 | 15661 (BEC) | Hillview Regency Condo | HIPL
2732 | 16691 (BEC) | Sophia Hills Condo | HIPL
2733 | 15942 (CDR) | Winstedt Rd, LLS (Ps/R) | HIPL
2734 | 16027 (CDR) | Woodlands Dr 50 Blk 886C, Sweetlands | HIPL
2735 | 15846 (FUD) | 43 Admiralty Rd 钓鱼虾场 | HIPL
2737 | 16746 (CFM) | Compassvale St Blk298D , Compassvale Green RC | HIPL
2739 | 15722 (UEN) | Marina Garden Dr, Satay By The Bay | HIPL
2741 | 16249 (BFC) | Riverfront Condo | HIPL
2742 | 15562 (UD) | Bukit Batok West Ave 2, CSC Bukit Batok | HIPL
2744 | 15906 (CDR) | Jurong West St 52 Blk 513, RC (Rental) | HIPL
2747 | 15974 (USD) | Jurong West St 81 Blk 817, Nanyang Zone 6 RN | HIPL
2748 | 15908 (CDR) | Jurong West St 41 Blk 468, Adj Student Centre | HIPL
2749 | 15900 (UFI) | Yishun St 23 Blk 235, Etern Education Centre | HIPL
2752 | 16192 (CDR) | Twin Vew Condo | HIPL
2753 | 15911 (CDR) | The Santorini Condo | HIPL
2756 | 16112 (CDR) | Martin Place Residences Condo | HIPL
2757 | 15915 (UFI) | Boon Lay Dr Blk 260, Boon Lay Zone C RC | HIPL
2759 | 16182 (BEC) | Irrawaddy Road, ibis Singapore Novena, Lobby | HIPL
2760 | 15843 (UEN) | Pasir Ris Close, Wild Wild Wet | HIPL
2761 | 15916 (BFC) | The Tapestry Condo | HIPL
2763 | 15945 (UD) | Changi Coast Walk, NSRCC (Bowling Area) | HIPL
2764 | 16243 (CFM2) | The Garden Residences Condo (Rental To Cheers) | HIPL
2766 | 16129 (CDRH) | Matgaret Dr, Masjid Jamek Mosque | HIPL
2767 | 16677 (CDR) | Clover by the park condo | HIPL
2768 | 15574 | Riversails Condo (Rental) | HIPL
2769 | 16754 (BEFC) | Canberra Road Void Deck Blk308 | HIPL
2770 | 15792 (BEC2) | Skyvue Condo (Rental) | HIPL
2771 | 15879 (CDR) | Water Place Condo | HIPL
2772 | 15568 (USD) | Livia Condo | HIPL
